index	vertices
0	[112, 38, 40]
1	[112, 40, 146]
2	[129, 12, 13]
3	[129, 13, 104]
4	[157, 10, 11]
5	[157, 11, 132]
6	[144, 21, 22]
7	[144, 22, 116]
8	[104, 13, 14]
9	[104, 14, 134]
10	[128, 30, 31]
11	[128, 31, 133]
12	[115, 4, 6]
13	[115, 6, 150]
14	[131, 33, 34]
15	[131, 34, 106]
16	[132, 11, 12]
17	[132, 12, 129]
18	[148, 41, 42]
19	[148, 42, 119]
20	[134, 14, 15]
21	[134, 15, 136]
22	[133, 31, 32]
23	[133, 32, 130]
24	[116, 22, 24]
25	[116, 24, 121]
26	[106, 34, 35]
27	[106, 35, 107]
28	[130, 32, 33]
29	[130, 33, 131]
30	[150, 6, 7]
31	[150, 7, 154]
32	[137, 17, 19]
33	[137, 19, 139]
34	[119, 42, 43]
35	[119, 43, 152]
36	[152, 43, 0]
37	[152, 0, 109]
38	[120, 23, 25]
39	[120, 25, 123]
40	[107, 35, 36]
41	[107, 36, 140]
42	[154, 7, 8]
43	[154, 8, 155]
44	[138, 18, 20]
45	[138, 20, 110]
46	[123, 25, 27]
47	[123, 27, 125]
48	[109, 0, 2]
49	[109, 2, 143]
50	[155, 8, 9]
51	[155, 9, 156]
52	[140, 36, 38]
53	[140, 38, 112]
54	[125, 27, 29]
55	[125, 29, 127]
56	[110, 20, 21]
57	[110, 21, 144]
58	[156, 9, 10]
59	[156, 10, 157]
60	[142, 1, 3]
61	[142, 3, 114]
62	[127, 29, 30]
63	[127, 30, 128]
64	[64, 127, 128]
65	[64, 128, 62]
66	[100, 142, 114]
67	[100, 114, 98]
68	[91, 156, 157]
69	[91, 157, 90]
70	[78, 111, 145]
71	[78, 145, 76]
72	[66, 125, 127]
73	[66, 127, 64]
74	[53, 141, 113]
75	[53, 113, 50]
76	[92, 155, 156]
77	[92, 156, 91]
78	[102, 108, 142]
79	[102, 142, 100]
80	[70, 124, 126]
81	[70, 126, 68]
82	[80, 139, 111]
83	[80, 111, 78]
84	[95, 154, 155]
85	[95, 155, 92]
