index	vertices
0	2 1 0
1	0 1 3
2	0 3 4
3	5 3 1
4	8 7 6
5	10 8 9
6	1 11 5
7	14 13 12
8	4 3 15
9	13 14 16
10	3 5 15
11	12 17 6
12	20 19 18
13	18 21 20
14	24 23 22
15	25 20 21
16	6 17 8
17	4 15 26
18	21 18 27
19	24 22 28
20	21 29 25
21	17 12 13
22	27 29 21
23	32 31 30
24	28 33 24
25	34 5 11
26	8 35 9
27	25 29 36
28	11 37 34
29	38 29 27
30	41 40 39
31	33 42 24
32	45 44 43
33	8 17 35
34	48 47 46
35	51 50 49
36	29 38 36
37	46 47 52
38	15 5 53
39	56 55 54
40	57 9 35
41	27 58 38
42	61 60 59
43	62 49 50
44	63 38 58
45	40 65 64
46	53 5 34
47	17 66 35
48	69 68 67
49	70 54 55
50	36 38 63
51	68 71 67
52	34 37 72
53	74 73 45
54	65 75 64
55	13 66 17
56	58 76 63
57	54 77 56
58	79 69 78
59	81 48 80
60	34 72 53
61	35 82 57
62	69 67 78
63	63 83 36
64	48 81 47
65	84 24 42
66	72 37 85
67	59 60 30
68	82 35 66
69	39 86 80
70	36 83 87
71	79 88 51
72	89 57 82
73	90 63 76
74	70 24 84
75	91 26 15
76	73 74 92
77	83 63 90
78	81 80 86
79	76 93 90
80	50 51 88
81	90 93 94
82	95 66 13
83	96 84 42
84	15 53 91
85	94 97 90
86	60 61 98
87	77 54 99
88	39 40 100
89	88 79 78
90	90 97 83
91	67 71 101
92	99 54 70
93	102 72 85
94	40 64 100
95	97 94 103
96	104 45 43
97	99 105 77
98	78 67 101
99	105 99 106
100	71 107 101
101	70 106 99
102	87 83 108
103	85 109 102
104	86 39 100
105	106 110 105
106	98 61 111
107	110 106 112
108	47 113 52
109	50 114 62
110	112 115 110
111	116 112 106
112	108 83 97
113	117 47 81
114	118 53 72
115	112 116 115
116	119 62 114
117	47 117 113
118	103 120 97
119	74 45 104
120	116 106 70
121	97 120 108
122	118 91 53
123	86 121 81
124	88 122 50
125	116 123 115
126	30 60 124
127	125 120 103
128	72 102 118
129	81 121 117
130	114 50 122
131	103 126 125
132	127 70 84
133	78 128 88
134	125 126 129
135	100 130 86
136	26 91 131
137	104 43 132
138	127 116 70
139	98 124 60
140	133 120 125
141	122 88 128
142	121 86 130
143	91 118 131
144	116 134 123
145	101 107 135
146	133 108 120
147	100 64 136
148	127 134 116
149	107 137 135
150	131 138 26
151	32 30 139
152	108 140 87
153	101 141 78
154	134 142 123
155	130 100 136
156	66 95 82
157	52 113 143
158	144 102 109
159	87 140 145
160	128 78 141
161	146 84 96
162	143 147 52
163	92 149 148
164	82 150 89
165	141 101 135
166	151 113 117
167	150 82 95
168	152 145 140
169	135 137 153
170	113 151 143
171	124 139 30
172	146 127 84
173	109 154 144
174	150 155 89
175	137 156 153
176	157 140 108
177	134 158 142
178	159 148 149
179	117 121 160
180	161 124 98
181	135 162 141
182	95 163 150
183	164 118 102
184	142 158 165
185	162 135 153
186	140 157 152
187	139 124 161
188	117 160 151
189	166 150 163
190	166 155 150
191	108 133 157
192	167 98 111
193	164 131 118
194	141 168 128
195	169 155 166
196	170 134 127
197	130 171 121
198	98 167 161
199	129 172 125
200	168 141 162
201	102 144 164
202	13 173 95
203	170 158 134
204	121 171 160
205	175 174 111
206	133 125 172
207	147 143 176
208	177 92 74
209	128 178 122
210	111 174 167
211	138 131 179
212	163 95 173
213	170 127 146
214	176 180 147
215	152 157 181
216	182 143 151
217	165 158 183
218	143 182 176
219	178 128 168
220	183 158 170
221	181 184 152
222	16 173 13
223	179 131 164
224	183 185 165
225	139 186 32
226	187 185 183
227	151 160 188
228	122 189 114
229	184 181 190
230	182 151 188
231	191 173 16
